simulation_time,system_mean_waiting_time,system_mean_speed,system_total_stopped,system_total_running,system_total_arrived,system_total_departed,system_total_waiting_time,model_type,scenario
5.0,0.0,2.216442531486973,1,0,0,0,0.0,Tradicional,1
10.0,0.0,6.243509717751295,0,0,0,0,0.0,Tradicional,1
15.0,0.125,3.5111303744476396,2,0,0,0,1.0,Tradicional,1
20.0,1.0,4.32387213811386,3,0,0,0,10.0,Tradicional,1
25.0,2.1538461538461537,4.0060201581332615,5,0,0,0,28.0,Tradicional,1
30.0,3.6,3.8174573676547565,6,0,0,0,54.0,Tradicional,1
35.0,4.944444444444445,3.8738769865187583,8,0,0,0,89.0,Tradicional,1
40.0,6.8,3.594122062268417,10,0,0,0,136.0,Tradicional,1
45.0,8.391304347826088,2.930694881469171,13,0,0,0,193.0,Tradicional,1
50.0,0.5833333333333334,4.912901627483438,3,0,0,0,14.0,Tradicional,1
55.0,1.7916666666666667,4.120840989866806,8,0,0,0,43.0,Tradicional,1
60.0,3.5833333333333335,4.186393605418222,9,0,0,0,86.0,Tradicional,1
65.0,5.833333333333333,2.96647973339859,13,0,0,0,140.0,Tradicional,1
70.0,7.961538461538462,2.9854486652779153,14,0,0,0,207.0,Tradicional,1
75.0,9.931034482758621,1.9290704782029024,18,0,0,0,288.0,Tradicional,1
80.0,13.275862068965518,1.7123749840823719,20,0,0,0,385.0,Tradicional,1
85.0,16.3,2.0222410016218895,21,0,0,0,489.0,Tradicional,1
90.0,18.75,1.5405622216751529,24,0,0,0,600.0,Tradicional,1
95.0,0.34285714285714286,4.885866253767869,5,0,0,0,12.0,Tradicional,1
100.0,1.2058823529411764,5.097036677234537,7,0,0,0,41.0,Tradicional,1
105.0,2.4285714285714284,4.937052978520038,13,0,0,0,85.0,Tradicional,1
110.0,4.4324324324324325,4.941231371618633,17,0,0,0,164.0,Tradicional,1
115.0,6.837837837837838,2.9596345159428643,22,0,0,0,253.0,Tradicional,1
120.0,9.58974358974359,2.294020381636793,26,0,0,0,374.0,Tradicional,1
125.0,12.0,2.9369592479549738,27,0,0,0,504.0,Tradicional,1
130.0,14.590909090909092,2.6331620609196955,29,0,0,0,642.0,Tradicional,1
135.0,17.23913043478261,2.7636374638846415,32,0,0,0,793.0,Tradicional,1
140.0,0.38636363636363635,5.389491740792522,6,0,0,0,17.0,Tradicional,1
