simulation_time,system_mean_waiting_time,system_mean_speed,system_total_stopped,system_total_running,system_total_arrived,system_total_departed,system_total_waiting_time,model_type,scenario
5.0,0.0,2.7335899728427955,1,0,0,0,0.0,Traditional,1
10.0,0.0,6.812349328954286,0,0,0,0,0.0,Traditional,1
15.0,0.375,3.9692160673953065,2,0,0,0,3.0,Traditional,1
20.0,1.5,4.778137019677293,3,0,0,0,15.0,Traditional,1
25.0,2.5384615384615383,3.691001463799274,5,0,0,0,33.0,Traditional,1
30.0,4.0,4.5066840462445725,7,0,0,0,60.0,Traditional,1
35.0,5.333333333333333,3.5055936545242243,9,0,0,0,96.0,Traditional,1
40.0,7.2,3.75021225005228,10,0,0,0,144.0,Traditional,1
45.0,8.608695652173912,3.6453804992248764,12,0,0,0,198.0,Traditional,1
50.0,0.22727272727272727,5.713500706393544,2,0,0,0,5.0,Traditional,1
55.0,1.0434782608695652,5.08838038090514,5,0,0,0,24.0,Traditional,1
60.0,2.619047619047619,3.9467196043380386,7,0,0,0,55.0,Traditional,1
65.0,4.565217391304348,2.958569300938306,12,0,0,0,105.0,Traditional,1
70.0,6.84,3.675183950405143,14,0,0,0,171.0,Traditional,1
75.0,9.222222222222221,1.917919396115255,19,0,0,0,249.0,Traditional,1
80.0,12.214285714285714,1.857438771116373,19,0,0,0,342.0,Traditional,1
85.0,15.206896551724139,2.146124317447651,20,0,0,0,441.0,Traditional,1
90.0,17.548387096774192,1.244009227220944,22,0,0,0,544.0,Traditional,1
95.0,0.2647058823529412,5.287251666506353,5,0,0,0,9.0,Traditional,1
100.0,1.0909090909090908,5.147101989074296,8,0,0,0,36.0,Traditional,1
105.0,2.342857142857143,5.214532706878014,14,0,0,0,82.0,Traditional,1
110.0,4.25,4.500100042402355,16,0,0,0,153.0,Traditional,1
115.0,6.473684210526316,3.0947912939252693,22,0,0,0,246.0,Traditional,1
120.0,9.461538461538462,2.3820565943588767,27,0,0,0,369.0,Traditional,1
125.0,11.928571428571429,2.4835662924622417,28,0,0,0,501.0,Traditional,1
130.0,14.613636363636363,2.8368186368587676,29,0,0,0,643.0,Traditional,1
135.0,17.666666666666668,2.1612983492462865,32,0,0,0,795.0,Traditional,1
140.0,0.4222222222222222,5.5106665121259155,5,0,0,0,19.0,Traditional,1
145.0,1.4285714285714286,5.945694861882125,11,0,0,0,60.0,Traditional,1
150.0,3.263157894736842,4.177101275173862,14,0,0,0,124.0,Traditional,1
155.0,5.589743589743589,2.564664854065442,23,0,0,0,218.0,Traditional,1
160.0,9.052631578947368,1.7349340734508543,27,0,0,0,344.0,Traditional,1
165.0,12.375,1.4167784795700147,33,0,0,0,495.0,Traditional,1
170.0,16.121951219512194,0.8307662280567394,34,0,0,0,661.0,Traditional,1
175.0,18.977272727272727,1.2045326293657213,36,0,0,0,835.0,Traditional,1
180.0,22.08695652173913,1.242009403298798,37,0,0,0,1016.0,Traditional,1
185.0,0.1568627450980392,5.30373392601241,5,0,0,0,8.0,Traditional,1
190.0,0.49056603773584906,6.350974145597003,6,0,0,0,26.0,Traditional,1
195.0,0.5576923076923077,6.543994714221021,7,0,0,0,29.0,Traditional,1
200.0,1.469387755102041,6.093964958523102,13,0,0,0,72.0,Traditional,1
205.0,2.9038461538461537,4.699170549396108,18,0,0,0,151.0,Traditional,1
210.0,4.611111111111111,3.0110322959228375,24,0,0,0,249.0,Traditional,1
215.0,6.701754385964913,3.329224795714809,30,0,0,0,382.0,Traditional,1
220.0,8.383333333333333,3.092053431360443,32,0,0,0,503.0,Traditional,1
225.0,10.095238095238095,2.27512507353854,37,0,0,0,636.0,Traditional,1
230.0,0.5161290322580645,4.107452395143357,12,0,0,0,32.0,Traditional,1
235.0,1.564516129032258,4.544848187970514,16,0,0,0,97.0,Traditional,1
