simulation_time,system_mean_waiting_time,system_mean_speed,system_total_stopped,system_total_running,system_total_arrived,system_total_departed,system_total_waiting_time,model_type,scenario
5.0,0.0,2.5575368766207247,1,0,0,0,0.0,Tradicional,1
10.0,0.0,6.359137236290649,0,0,0,0,0.0,Tradicional,1
15.0,0.375,3.385616976846146,2,0,0,0,3.0,Tradicional,1
20.0,1.2,4.475990582503874,3,0,0,0,12.0,Tradicional,1
25.0,2.230769230769231,4.387605875626722,5,0,0,0,29.0,Tradicional,1
30.0,3.6666666666666665,3.7710399494757825,7,0,0,0,55.0,Tradicional,1
35.0,5.0,3.5804632982559053,8,0,0,0,90.0,Tradicional,1
40.0,6.8,3.547895539809789,10,0,0,0,136.0,Tradicional,1
45.0,8.217391304347826,3.2972142276941914,12,0,0,0,189.0,Tradicional,1
50.0,0.21739130434782608,5.191247012284779,2,0,0,0,5.0,Tradicional,1
55.0,1.0,4.3844061918449135,6,0,0,0,24.0,Tradicional,1
60.0,2.5652173913043477,3.8751835010019,8,0,0,0,59.0,Tradicional,1
65.0,4.75,3.124896358431638,13,0,0,0,114.0,Tradicional,1
70.0,6.923076923076923,3.185079350604297,15,0,0,0,180.0,Tradicional,1
75.0,9.03448275862069,1.654706740662612,20,0,0,0,262.0,Tradicional,1
80.0,12.413793103448276,1.5321145337963489,20,0,0,0,360.0,Tradicional,1
85.0,14.935483870967742,2.17921649565958,21,0,0,0,463.0,Tradicional,1
90.0,17.84375,1.6761388906260815,24,0,0,0,571.0,Tradicional,1
95.0,0.08571428571428572,5.0637118900785945,3,0,0,0,3.0,Tradicional,1
100.0,1.0303030303030303,4.748591269192839,7,0,0,0,34.0,Tradicional,1
105.0,2.257142857142857,4.48170706435962,14,0,0,0,79.0,Tradicional,1
110.0,4.388888888888889,4.520131541930313,17,0,0,0,158.0,Tradicional,1
115.0,6.447368421052632,2.7931261874208353,21,0,0,0,245.0,Tradicional,1
120.0,9.605263157894736,2.539629884475966,25,0,0,0,365.0,Tradicional,1
125.0,11.785714285714286,2.299629081747564,27,0,0,0,495.0,Tradicional,1
130.0,14.477272727272727,2.780865880222693,29,0,0,0,637.0,Tradicional,1
135.0,17.02173913043478,2.289849035016368,31,0,0,0,783.0,Tradicional,1
